,cutoff0.1,cutoff0.15,cutoff0.2,cutoff0.25,cutoff0.3,cutoff0.35,cutoff0.4
APH - 12163,1.938038,0.161247,0,0,0,0,0
CgGc - 12158,13.038861,12.53567,11.982329,10.840302,7.295702,5.360227,3.468256
CgGr - 12157,10.901172,10.301367,9.126648,7.988177,5.796445,3.157022,0.901343
Cun - 12150,13.972761,13.05527,12.550033,12.305451,10.913288,8.603246,6.727047
FuGt - 12143,12.795966,12.227196,11.338599,10.136773,7.639327,6.031499,5.278605
IFGtr - IFGop,12.412328,11.922939,11.385629,11.147641,8.322107,5.433707,3.938283
ITG - 12142,12.422881,11.954788,10.906451,8.814725,6.869876,5.556263,3.67796
LiG - 12151,14.784837,13.979617,13.277973,13.033362,11.581947,9.581457,6.951731
LIG - 12177,11.416679,10.650329,9.693489,9.447397,7.800436,5.561562,2.610593
MFG - 12116,13.710386,13.312459,12.411171,11.464249,8.787392,7.473165,6.734862
MTG - 12141,14.648439,14.25719,13.561142,12.650772,11.072491,8.477614,5.09693
PaO - 13230,13.138314,12.779943,11.404156,11.161473,10.900384,9.280984,6.730818
PoCG - 12132,14.197789,13.815243,12.541587,12.069963,10.97401,9.980595,8.029152
POrG - 12124,7.406897,5.696885,2.969575,1.225583,0.951789,0,0
PPH - 12164,6.513229,5.340004,2.526936,1.212022,0.952246,0,0
PrCG - 12114,15.270173,14.908835,13.696751,13.277666,12.994755,12.994755,10.770221
PRG - 146034892,6.380296,4.281042,1.473343,0.572284,0,0,0
ReG - 12121,0.921105,0.424694,0.231806,0,0,0,0
RoG - 146034876,3.061354,1.970143,1.138672,0.29576,0,0,0
RSP - Yeo,8.02002,7.025193,4.865402,3.289927,1.665411,1.346959,0.953056
SCG - 12160,0.225033,0,0,0,0,0,0
SIG - 12178,11.019516,10.634123,10.284312,8.735377,7.130856,4.523264,1.874071
SMG - 12135,14.698672,14.218169,13.546596,13.546596,12.702332,12.045672,8.352563
SOG - 12154,14.355062,13.707858,13.206449,12.323678,11.235187,8.364494,6.474107
SPL - 12133,14.657644,14.16201,13.835374,12.771648,12.771648,10.104748,7.835353
STG - 12140,13.445746,12.933145,12.585187,11.501349,9.813014,9.169763,4.259691
TP - 12146,5.673773,3.827386,1.033534,0.617006,0.334964,0,0
TTG - 12144,11.826374,11.174575,9.962646,9.722429,7.75292,4.861777,2.243969
